TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
374.5,0,San Francisco,1,26.0,3,178.0,1.0,1671.51,2024-11-04 08:08:37
166.13,1,Omaha,0,68.0,0,227.0,1.0,11822.53,2024-11-04 08:12:08
626.9,1,Chicago,0,23.0,3,146.0,1.0,587.11,2024-11-04 08:11:30
466.85,1,Austin,1,56.0,2,165.0,1.0,5422.53,2024-11-04 08:09:35
788.84,1,Phoenix,2,58.0,2,231.0,1.0,1913.73,2024-11-04 08:09:42
525.28,1,Colorado Springs,0,69.0,2,134.0,1.0,4693.6,2024-11-04 08:09:39
632.69,1,Denver,0,80.0,2,76.0,1.0,4363.74,2024-11-04 08:09:26
124.35,1,Oklahoma City,0,72.0,2,90.0,1.0,3319.76,2024-11-04 08:11:35
43.85,1,Fresno,0,62.0,2,122.0,1.0,4356.98,2024-11-04 08:07:18
283.81,1,San Diego,1,28.0,3,29.0,1.0,1519.35,2024-11-04 08:10:46
168.53,1,San Francisco,0,71.0,2,112.0,1.0,5962.58,2024-11-04 08:12:09
218.59,0,Denver,1,40.0,1,123.0,1.0,6699.23,2024-11-04 08:07:12
132.84,1,Oklahoma City,0,21.0,3,143.0,1.0,822.73,2024-11-04 08:08:40
157.37,0,Dallas,1,42.0,0,289.0,1.0,13964.31,2024-11-04 08:10:30
144.77,1,Albuquerque,2,20.0,3,159.0,1.0,867.32,2024-11-04 08:10:54
643.22,1,Atlanta,0,64.0,0,93.0,1.0,1035.86,2024-11-04 08:07:46
1392.54,1,El Paso,1,41.0,0,297.0,1.0,13347.69,2024-11-04 08:09:15
208.07,1,Oklahoma City,2,32.0,0,36.0,1.0,8478.9,2024-11-04 08:11:43
295.5,1,Mesa,0,59.0,2,36.0,1.0,6280.66,2024-11-04 08:07:08
30.23,1,Austin,0,44.0,0,99.0,1.0,481.13,2024-11-04 08:12:06
180.24,1,Phoenix,1,58.0,1,144.0,1.0,8431.23,2024-11-04 08:09:17
13.71,0,Denver,2,38.0,1,148.0,1.0,8342.79,2024-11-04 08:11:17
96.54,1,New York,1,58.0,2,95.0,1.0,7182.22,2024-11-04 08:10:31
101.04,1,San Antonio,0,27.0,3,160.0,1.0,1695.57,2024-11-04 08:06:43
39.66,1,Virginia Beach,1,52.0,1,169.0,1.0,8497.34,2024-11-04 08:07:20
99.36,1,Seattle,0,40.0,0,46.0,1.0,1272.12,2024-11-04 08:09:15
123.85,1,Las Vegas,2,56.0,1,244.0,1.0,3959.62,2024-11-04 08:06:36
426.93,1,Omaha,0,19.0,3,248.0,1.0,476.19,2024-11-04 08:09:12
133.73,0,San Jose,2,25.0,3,123.0,1.0,1872.22,2024-11-04 08:09:22
222.39,1,Virginia Beach,2,49.0,1,73.0,1.0,3117.39,2024-11-04 08:10:52
215.94,0,Virginia Beach,2,22.0,3,140.0,1.0,1841.69,2024-11-04 08:10:45
6.3,1,Columbus,1,80.0,2,283.0,5.0,7697.68,2024-11-04 08:12:13
131.46,1,Charlotte,1,67.0,2,258.0,1.0,6642.33,2024-11-04 08:11:30
202.86,0,Memphis,1,61.0,0,149.0,1.0,7642.25,2024-11-04 08:08:54
268.39,1,Miami,0,26.0,3,171.0,1.0,136.74,2024-11-04 08:06:40
194.85,1,Jacksonville,2,23.0,3,130.0,4.0,319.84,2024-11-04 08:08:01
353.82,1,Milwaukee,0,42.0,0,143.0,1.0,705.75,2024-11-04 08:06:40
364.42,1,Colorado Springs,0,51.0,1,146.0,1.0,8119.73,2024-11-04 08:09:16
195.12,1,Louisville,0,46.0,0,144.0,1.0,6101.15,2024-11-04 08:10:40
230.61,1,Raleigh,1,80.0,2,204.0,1.0,2561.42,2024-11-04 08:09:46
739.28,0,Tucson,1,58.0,0,47.0,1.0,11905.64,2024-11-04 08:11:13
390.35,0,Omaha,0,64.0,0,61.0,1.0,7095.88,2024-11-04 08:10:01
242.03,1,Dallas,2,58.0,1,124.0,1.0,4382.73,2024-11-04 08:07:12
242.39,0,San Antonio,0,18.0,3,271.0,1.0,1328.73,2024-11-04 08:06:48
135.03,1,San Francisco,0,23.0,3,180.0,1.0,1278.0,2024-11-04 08:08:18
193.54,1,Oklahoma City,1,80.0,2,267.0,1.0,2929.51,2024-11-04 08:08:26
775.23,0,Albuquerque,2,59.0,0,38.0,1.0,5977.59,2024-11-04 08:07:01
266.57,1,El Paso,0,72.0,2,100.0,1.0,7676.92,2024-11-04 08:09:17
153.4,1,Mesa,0,45.0,1,144.0,1.0,4657.7,2024-11-04 08:08:08
946.94,1,Charlotte,1,53.0,2,251.0,1.0,5579.11,2024-11-04 08:07:11
5.12,1,New York,1,34.0,1,90.0,1.0,3293.01,2024-11-04 08:10:31
119.11,1,Detroit,0,57.0,1,131.0,1.0,7998.25,2024-11-04 08:09:48
1096.7,1,Colorado Springs,2,24.0,3,147.0,1.0,1093.89,2024-11-04 08:11:28
119.72,1,Tucson,1,30.0,1,123.0,1.0,3435.34,2024-11-04 08:10:20
107.4,1,Virginia Beach,2,58.0,0,32.0,1.0,344.07,2024-11-04 08:08:03
115.92,1,Raleigh,0,53.0,2,57.0,1.0,3897.17,2024-11-04 08:09:02
438.04,1,Philadelphia,0,67.0,2,247.0,1.0,5358.95,2024-11-04 08:06:33
677.29,1,Houston,2,27.0,1,287.0,1.0,627.79,2024-11-04 08:07:16
296.0,1,Las Vegas,1,35.0,0,248.0,1.0,7418.82,2024-11-04 08:06:54
299.09,0,Boston,1,36.0,1,84.0,1.0,5615.26,2024-11-04 08:08:01
461.52,0,Denver,1,24.0,3,44.0,1.0,1995.18,2024-11-04 08:08:53
100.52,1,Las Vegas,0,50.0,1,110.0,1.0,453.39,2024-11-04 08:11:28
85.35,1,Washington,0,66.0,2,166.0,1.0,2173.76,2024-11-04 08:06:25
79.76,1,Raleigh,1,39.0,1,170.0,1.0,6452.14,2024-11-04 08:09:34
778.49,0,Omaha,2,75.0,2,107.0,1.0,7713.67,2024-11-04 08:09:21
386.38,1,Phoenix,2,42.0,1,135.0,1.0,5528.36,2024-11-04 08:10:06
14.29,1,Los Angeles,0,34.0,1,150.0,1.0,7016.99,2024-11-04 08:08:52
232.79,0,Indianapolis,1,55.0,2,145.0,1.0,2661.3,2024-11-04 08:11:40
1237.56,0,Austin,1,60.0,1,159.0,1.0,9410.17,2024-11-04 08:11:45
293.97,1,Phoenix,1,68.0,2,153.0,1.0,7371.85,2024-11-04 08:08:57
136.32,1,Miami,2,19.0,3,113.0,1.0,264.83,2024-11-04 08:09:24
251.06,1,Colorado Springs,2,36.0,0,34.0,1.0,10001.66,2024-11-04 08:10:13
50.17,0,Sacramento,0,77.0,2,35.0,1.0,7752.14,2024-11-04 08:10:59
21.4,1,Fresno,1,34.0,1,258.0,1.0,9594.11,2024-11-04 08:11:40
73.28,1,Boston,1,21.0,3,21.0,1.0,1329.41,2024-11-04 08:10:57
70.23,1,Memphis,0,38.0,0,260.0,1.0,11624.93,2024-11-04 08:07:16
689.29,1,El Paso,0,22.0,3,100.0,1.0,168.84,2024-11-04 08:07:49
745.03,1,Fort Worth,2,28.0,3,231.0,1.0,160.57,2024-11-04 08:09:15
54.61,1,Milwaukee,0,58.0,1,160.0,1.0,7135.64,2024-11-04 08:07:19
54.05,1,Louisville,1,27.0,3,146.0,1.0,469.14,2024-11-04 08:11:34
107.47,1,Austin,2,67.0,2,144.0,1.0,7517.5,2024-11-04 08:12:09
611.11,1,Detroit,0,20.0,3,282.0,4.0,919.84,2024-11-04 08:11:12
219.63,1,Charlotte,0,48.0,0,44.0,1.0,8013.63,2024-11-04 08:07:29
93.52,1,Philadelphia,2,51.0,1,97.0,1.0,2791.2,2024-11-04 08:08:04
275.92,0,Nashville,1,62.0,2,107.0,1.0,1777.38,2024-11-04 08:07:39
376.79,1,Milwaukee,1,68.0,2,265.0,1.0,7749.14,2024-11-04 08:08:44
697.32,1,Atlanta,2,68.0,2,91.0,1.0,2016.02,2024-11-04 08:11:18
302.16,1,Kansas City,2,80.0,2,138.0,5.0,3876.61,2024-11-04 08:07:38
442.74,1,San Diego,1,23.0,3,136.0,1.0,1790.27,2024-11-04 08:09:45
623.9,1,San Jose,0,27.0,3,249.0,1.0,711.47,2024-11-04 08:10:15
445.41,1,Fresno,0,35.0,0,235.0,3.0,12154.66,2024-11-04 08:08:08
63.41,1,Fort Worth,0,26.0,3,36.0,1.0,1546.22,2024-11-04 08:07:15
346.85,1,Kansas City,0,44.0,0,88.0,1.0,7208.15,2024-11-04 08:10:25
7.5,1,Dallas,2,63.0,2,36.0,1.0,6485.78,2024-11-04 08:11:28
206.46,1,Virginia Beach,0,65.0,2,279.0,1.0,3984.38,2024-11-04 08:06:44
423.11,1,Columbus,0,60.0,1,47.0,1.0,412.78,2024-11-04 08:10:58
35.84,0,Colorado Springs,2,54.0,2,172.0,1.0,4795.65,2024-11-04 08:10:57
88.6,0,Raleigh,1,28.0,3,105.0,1.0,246.57,2024-11-04 08:08:47
1431.3,1,Oklahoma City,0,18.0,3,168.0,1.0,1058.13,2024-11-04 08:11:20
22.46,1,New York,2,54.0,2,78.0,1.0,6631.5,2024-11-04 08:07:46
334.89,1,Fort Worth,2,21.0,3,260.0,1.0,1661.68,2024-11-04 08:08:44
319.27,0,Omaha,2,54.0,2,59.0,1.0,5504.01,2024-11-04 08:06:35
144.3,1,Oklahoma City,0,18.0,3,88.0,1.0,312.19,2024-11-04 08:10:39
348.7,0,Fresno,1,69.0,2,149.0,1.0,2445.58,2024-11-04 08:06:58
366.21,1,Oklahoma City,0,62.0,0,181.0,1.0,10862.99,2024-11-04 08:11:36
99.11,1,Philadelphia,2,55.0,2,12.0,1.0,5414.87,2024-11-04 08:09:35
539.35,1,Milwaukee,0,55.0,2,127.0,1.0,3919.44,2024-11-04 08:11:49
188.99,1,Oklahoma City,1,58.0,1,92.0,1.0,7315.34,2024-11-04 08:07:32
1416.69,1,Nashville,0,46.0,1,58.0,1.0,3740.73,2024-11-04 08:11:35
710.14,1,El Paso,0,26.0,3,227.0,1.0,465.63,2024-11-04 08:12:20
308.68,1,Milwaukee,2,53.0,0,170.0,1.0,9992.36,2024-11-04 08:10:16
166.68,1,Mesa,0,57.0,2,139.0,1.0,5141.19,2024-11-04 08:12:19
505.19,1,Kansas City,0,30.0,0,128.0,5.0,5326.68,2024-11-04 08:10:19
66.58,1,Raleigh,1,23.0,3,79.0,1.0,1636.32,2024-11-04 08:08:48
223.43,1,Dallas,1,77.0,2,178.0,1.0,7932.41,2024-11-04 08:09:38
659.95,1,Detroit,2,60.0,1,114.0,1.0,3927.69,2024-11-04 08:06:26
634.86,1,Chicago,0,27.0,3,45.0,1.0,588.5,2024-11-04 08:08:00
286.5,0,Boston,1,30.0,1,60.0,1.0,8517.95,2024-11-04 08:09:17
322.96,0,Philadelphia,1,76.0,2,168.0,1.0,2401.59,2024-11-04 08:11:24
654.48,1,Columbus,1,19.0,3,114.0,1.0,6776.41,2024-11-04 08:10:17
157.97,1,Philadelphia,1,48.0,0,140.0,1.0,5529.92,2024-11-04 08:10:06
254.77,1,Denver,1,57.0,1,57.0,1.0,5994.87,2024-11-04 08:07:07
795.96,1,Raleigh,2,65.0,2,119.0,1.0,5468.58,2024-11-04 08:08:26
149.25,1,Omaha,0,39.0,1,142.0,1.0,5677.52,2024-11-04 08:07:41
68.19,0,Fresno,2,40.0,0,189.0,1.0,9895.1,2024-11-04 08:07:50
37.57,1,El Paso,0,57.0,2,42.0,1.0,7739.54,2024-11-04 08:09:21
127.0,0,Nashville,1,19.0,3,68.0,5.0,431.16,2024-11-04 08:10:12
448.33,1,Atlanta,0,25.0,3,161.0,1.0,922.19,2024-11-04 08:09:44
1116.48,1,San Diego,0,51.0,1,55.0,1.0,447.53,2024-11-04 08:11:35
8.65,1,Las Vegas,2,48.0,0,273.0,1.0,10778.35,2024-11-04 08:09:03
539.81,1,San Francisco,2,46.0,1,177.0,1.0,2051.25,2024-11-04 08:09:05
363.53,1,Kansas City,0,63.0,2,142.0,1.0,1038.91,2024-11-04 08:10:57
64.9,0,Detroit,1,51.0,2,72.0,1.0,6854.61,2024-11-04 08:10:18
358.18,1,Boston,0,18.0,3,157.0,1.0,619.86,2024-11-04 08:07:58
167.2,1,San Antonio,1,30.0,0,84.0,1.0,11320.83,2024-11-04 08:06:52
121.91,1,Chicago,1,60.0,0,133.0,1.0,14510.8,2024-11-04 08:08:59
137.57,1,Louisville,2,54.0,1,70.0,1.0,5103.67,2024-11-04 08:11:22
534.62,1,Oklahoma City,2,55.0,0,45.0,1.0,13793.53,2024-11-04 08:06:35
463.92,1,Mesa,2,50.0,1,199.0,1.0,2403.39,2024-11-04 08:09:14
320.14,1,Milwaukee,2,60.0,2,96.0,1.0,3075.97,2024-11-04 08:07:40
214.93,1,Albuquerque,2,28.0,3,52.0,1.0,7835.4,2024-11-04 08:08:51
660.02,1,Nashville,1,20.0,3,84.0,1.0,414.43,2024-11-04 08:08:35
345.81,1,Raleigh,1,40.0,1,135.0,1.0,6116.8,2024-11-04 08:12:14
143.54,1,Philadelphia,0,71.0,2,80.0,1.0,6067.62,2024-11-04 08:08:22
1063.25,0,Omaha,2,21.0,3,128.0,1.0,1240.71,2024-11-04 08:07:39
541.79,1,Mesa,0,22.0,3,125.0,1.0,1454.08,2024-11-04 08:11:29
40.57,1,Columbus,1,26.0,3,63.0,1.0,1476.91,2024-11-04 08:06:37
120.24,1,Milwaukee,1,18.0,3,131.0,2.0,1943.13,2024-11-04 08:08:20
498.67,1,Miami,2,28.0,3,244.0,1.0,1719.97,2024-11-04 08:08:24
227.22,1,El Paso,0,53.0,0,220.0,1.0,832.82,2024-11-04 08:11:56
1182.86,1,Tucson,2,30.0,1,34.0,1.0,7696.16,2024-11-04 08:08:58
59.44,1,Chicago,2,35.0,1,176.0,1.0,5472.03,2024-11-04 08:06:34
230.46,1,Mesa,2,19.0,3,179.0,1.0,162.53,2024-11-04 08:08:50
65.09,0,Seattle,2,44.0,1,159.0,1.0,9370.9,2024-11-04 08:09:41
457.09,0,Nashville,2,55.0,1,63.0,1.0,8570.82,2024-11-04 08:08:45
552.02,0,Chicago,0,44.0,1,100.0,1.0,522.08,2024-11-04 08:09:25
377.12,1,Houston,0,34.0,1,61.0,1.0,836.67,2024-11-04 08:11:40
204.56,0,San Diego,1,18.0,3,179.0,1.0,364.72,2024-11-04 08:10:26
420.28,1,Washington,1,35.0,0,144.0,1.0,8557.32,2024-11-04 08:09:01
97.09,1,Fort Worth,0,24.0,3,202.0,4.0,1579.57,2024-11-04 08:06:33
124.59,1,Charlotte,1,27.0,3,171.0,1.0,129.29,2024-11-04 08:09:21
73.88,1,Charlotte,2,39.0,0,34.0,1.0,6474.41,2024-11-04 08:09:09
106.16,1,Phoenix,0,56.0,0,277.0,4.0,7487.79,2024-11-04 08:08:51
245.93,1,Fresno,1,54.0,1,172.0,1.0,7986.63,2024-11-04 08:11:58
622.41,1,Indianapolis,0,64.0,0,125.0,1.0,7322.01,2024-11-04 08:07:48
43.73,1,Omaha,0,34.0,0,145.0,1.0,9929.43,2024-11-04 08:10:33
1282.86,1,Austin,1,19.0,3,68.0,1.0,1830.98,2024-11-04 08:07:32
2.03,0,Detroit,0,33.0,1,28.0,1.0,3012.31,2024-11-04 08:08:50
770.65,1,Jacksonville,2,31.0,0,137.0,1.0,7198.8,2024-11-04 08:09:01
260.31,1,Austin,1,63.0,0,113.0,1.0,10980.38,2024-11-04 08:12:03
356.1,0,Fort Worth,1,26.0,3,187.0,1.0,868.35,2024-11-04 08:11:02
27.07,0,Virginia Beach,1,80.0,2,39.0,1.0,3773.29,2024-11-04 08:09:57
119.89,1,Tucson,0,67.0,0,60.0,1.0,6697.77,2024-11-04 08:09:02
106.39,1,Virginia Beach,2,37.0,0,281.0,1.0,9410.99,2024-11-04 08:10:32
12.04,1,Fort Worth,2,37.0,1,58.0,1.0,6213.32,2024-11-04 08:08:25
365.7,1,Houston,1,21.0,3,115.0,2.0,368.78,2024-11-04 08:10:17
29.38,0,Baltimore,1,28.0,3,63.0,1.0,1663.31,2024-11-04 08:11:08
319.85,1,Denver,0,60.0,0,148.0,1.0,711.66,2024-11-04 08:07:45
350.14,0,Los Angeles,2,75.0,2,38.0,1.0,2403.25,2024-11-04 08:08:40
163.94,0,Virginia Beach,1,52.0,2,73.0,1.0,5957.37,2024-11-04 08:09:51
170.53,1,Oklahoma City,1,24.0,3,58.0,1.0,801.01,2024-11-04 08:09:49
41.49,1,Albuquerque,2,24.0,3,13.0,1.0,928.33,2024-11-04 08:12:03
121.43,0,Sacramento,1,52.0,1,243.0,1.0,7365.28,2024-11-04 08:07:28
350.46,1,Nashville,1,51.0,2,165.0,1.0,5839.38,2024-11-04 08:06:32
220.41,0,El Paso,2,26.0,1,155.0,1.0,5116.98,2024-11-04 08:10:04
33.46,1,Seattle,0,72.0,2,111.0,1.0,3641.07,2024-11-04 08:09:12
104.79,1,Denver,0,70.0,0,223.0,1.0,1352.19,2024-11-04 08:10:07
246.27,1,Fresno,2,29.0,0,141.0,1.0,7299.86,2024-11-04 08:10:57
48.85,1,Dallas,0,19.0,3,176.0,1.0,1503.56,2024-11-04 08:07:15
332.0,1,Charlotte,0,69.0,2,17.0,1.0,5943.13,2024-11-04 08:07:03
118.1,1,Memphis,2,54.0,1,167.0,1.0,895.66,2024-11-04 08:09:14
84.59,0,Las Vegas,1,67.0,0,10.0,1.0,5669.1,2024-11-04 08:07:12
295.64,1,Jacksonville,2,21.0,3,82.0,1.0,1061.96,2024-11-04 08:10:41
514.33,1,Philadelphia,1,25.0,3,160.0,1.0,1592.94,2024-11-04 08:12:17
94.59,1,Washington,2,39.0,0,34.0,1.0,6171.89,2024-11-04 08:10:37
80.43,1,Columbus,1,59.0,2,157.0,1.0,5987.67,2024-11-04 08:08:18
54.25,1,Virginia Beach,2,68.0,0,37.0,1.0,14783.33,2024-11-04 08:08:53
178.88,0,Dallas,1,76.0,2,93.0,4.0,4708.29,2024-11-04 08:12:10
518.85,1,Kansas City,2,22.0,3,82.0,1.0,1806.0,2024-11-04 08:06:37
10.65,1,Louisville,2,54.0,0,161.0,1.0,13240.72,2024-11-04 08:10:21
107.03,1,Miami,1,27.0,3,73.0,1.0,1408.07,2024-11-04 08:12:13
139.57,1,Fort Worth,0,19.0,3,263.0,3.0,271.78,2024-11-04 08:07:23
346.11,1,Dallas,1,41.0,1,213.0,1.0,9551.64,2024-11-04 08:08:03
138.06,1,Charlotte,1,44.0,1,159.0,1.0,1070.47,2024-11-04 08:06:52
158.02,1,New York,0,49.0,1,120.0,1.0,9374.24,2024-11-04 08:09:57
830.01,0,Chicago,2,66.0,2,96.0,1.0,4253.18,2024-11-04 08:11:27
110.49,1,Raleigh,2,57.0,0,48.0,1.0,10483.93,2024-11-04 08:12:20
329.4,1,Denver,2,34.0,0,68.0,1.0,9588.07,2024-11-04 08:07:55
635.4,1,Denver,0,47.0,0,106.0,1.0,1238.11,2024-11-04 08:11:45
769.97,1,San Diego,1,22.0,3,23.0,1.0,1244.93,2024-11-04 08:09:51
175.07,1,Colorado Springs,1,26.0,3,169.0,1.0,1040.25,2024-11-04 08:08:15
7.31,1,Las Vegas,1,78.0,2,282.0,1.0,5757.67,2024-11-04 08:07:15
32.54,1,Oklahoma City,2,25.0,3,183.0,4.0,1544.88,2024-11-04 08:07:01
56.12,1,El Paso,0,30.0,0,102.0,1.0,8839.67,2024-11-04 08:09:30
424.7,0,Miami,2,56.0,2,178.0,1.0,6239.89,2024-11-04 08:08:25
35.73,1,Miami,1,65.0,0,87.0,1.0,9073.17,2024-11-04 08:11:09
3.44,1,Fort Worth,0,78.0,2,108.0,1.0,7561.33,2024-11-04 08:12:20
1342.25,0,Fort Worth,1,21.0,3,235.0,1.0,694.03,2024-11-04 08:08:00
139.03,0,Los Angeles,2,50.0,1,81.0,1.0,2276.57,2024-11-04 08:11:29
254.92,0,San Antonio,0,28.0,1,169.0,1.0,2791.12,2024-11-04 08:07:18
115.11,1,Albuquerque,2,28.0,1,139.0,1.0,9808.97,2024-11-04 08:10:18
171.11,1,San Francisco,0,57.0,2,171.0,1.0,6324.09,2024-11-04 08:08:40
168.54,1,Oklahoma City,0,70.0,0,142.0,2.0,13406.0,2024-11-04 08:08:14
408.46,1,Raleigh,1,64.0,2,28.0,1.0,3140.79,2024-11-04 08:08:20
1162.42,0,Detroit,2,30.0,0,45.0,1.0,10357.26,2024-11-04 08:09:09
342.17,0,New York,1,21.0,3,247.0,1.0,461.83,2024-11-04 08:08:32
580.71,1,Philadelphia,0,53.0,1,95.0,1.0,5670.0,2024-11-04 08:10:54
821.54,0,Atlanta,1,79.0,2,36.0,1.0,4040.32,2024-11-04 08:11:57
253.47,1,Atlanta,1,20.0,3,238.0,1.0,220.51,2024-11-04 08:08:12
22.81,1,New York,2,62.0,2,75.0,1.0,3634.76,2024-11-04 08:07:59
266.57,0,Boston,2,39.0,1,96.0,1.0,7180.48,2024-11-04 08:07:10
374.61,0,Mesa,2,75.0,2,37.0,1.0,1389.71,2024-11-04 08:11:24
339.35,0,Boston,0,78.0,2,70.0,1.0,5002.7,2024-11-04 08:08:17
810.36,1,Columbus,0,20.0,3,67.0,1.0,9239.12,2024-11-04 08:07:19
9.83,1,Memphis,0,24.0,3,86.0,1.0,666.42,2024-11-04 08:09:03
135.57,0,Boston,1,51.0,0,116.0,1.0,11351.64,2024-11-04 08:11:44
340.05,1,Detroit,0,43.0,1,37.0,1.0,7234.15,2024-11-04 08:07:43
283.45,1,Colorado Springs,1,27.0,1,127.0,1.0,2049.51,2024-11-04 08:08:51
100.99,1,New York,0,68.0,0,114.0,1.0,8865.27,2024-11-04 08:09:12
90.88,1,Albuquerque,1,18.0,3,176.0,1.0,3908.47,2024-11-04 08:07:13
655.15,1,Seattle,0,26.0,1,264.0,1.0,5587.44,2024-11-04 08:07:15
320.55,1,Milwaukee,2,50.0,1,118.0,1.0,438.75,2024-11-04 08:08:14
41.51,1,Phoenix,2,28.0,3,48.0,1.0,609.6,2024-11-04 08:11:54
71.53,0,Jacksonville,1,68.0,2,39.0,1.0,2393.73,2024-11-04 08:12:00
467.13,0,Kansas City,1,54.0,2,45.0,1.0,3914.84,2024-11-04 08:06:58
235.4,1,Detroit,1,28.0,3,70.0,1.0,818.36,2024-11-04 08:10:13
159.32,1,Seattle,1,18.0,3,100.0,1.0,304.44,2024-11-04 08:10:32
50.83,0,Philadelphia,2,30.0,0,48.0,1.0,9553.42,2024-11-04 08:10:06
56.89,0,Houston,1,59.0,1,56.0,1.0,3034.67,2024-11-04 08:09:52
20.22,1,Jacksonville,0,43.0,1,138.0,1.0,5515.32,2024-11-04 08:06:32
50.4,1,San Antonio,1,36.0,0,84.0,1.0,1677.01,2024-11-04 08:07:17
73.88,1,Los Angeles,1,53.0,2,131.0,1.0,4055.55,2024-11-04 08:08:11
119.61,1,San Diego,0,33.0,0,53.0,1.0,9899.94,2024-11-04 08:07:28
1241.05,1,Miami,1,18.0,3,129.0,1.0,756.74,2024-11-04 08:11:48
116.58,1,Raleigh,1,43.0,1,247.0,1.0,2620.74,2024-11-04 08:06:50
156.26,0,Virginia Beach,1,46.0,1,160.0,1.0,7854.1,2024-11-04 08:09:29
427.0,0,Oklahoma City,1,49.0,1,163.0,1.0,8253.65,2024-11-04 08:07:30
67.57,1,Charlotte,1,37.0,1,107.0,1.0,2766.12,2024-11-04 08:11:15
326.29,1,Denver,2,56.0,1,179.0,1.0,8171.26,2024-11-04 08:10:44
158.56,1,Sacramento,0,33.0,0,100.0,1.0,5401.21,2024-11-04 08:10:48
56.02,1,Memphis,2,27.0,3,142.0,1.0,3548.02,2024-11-04 08:07:58
245.67,0,Portland,1,24.0,3,107.0,1.0,752.25,2024-11-04 08:07:45
152.18,0,Los Angeles,2,39.0,1,176.0,4.0,2459.84,2024-11-04 08:10:50
114.35,0,El Paso,1,41.0,1,21.0,1.0,469.12,2024-11-04 08:10:13
504.63,1,Portland,2,60.0,1,168.0,1.0,3806.16,2024-11-04 08:07:50
126.22,1,Atlanta,0,46.0,1,77.0,4.0,6133.41,2024-11-04 08:07:41
820.15,1,Kansas City,1,47.0,0,181.0,1.0,8802.97,2024-11-04 08:10:34
8.37,1,Colorado Springs,0,63.0,2,135.0,1.0,1106.34,2024-11-04 08:11:23
197.49,0,Fresno,2,53.0,2,30.0,1.0,5005.33,2024-11-04 08:06:40
637.97,1,New York,1,58.0,2,90.0,1.0,7949.03,2024-11-04 08:07:56
13.52,1,Seattle,0,26.0,3,65.0,1.0,259.77,2024-11-04 08:06:30
432.1,1,San Francisco,0,49.0,1,240.0,1.0,2114.3,2024-11-04 08:10:16
375.17,1,Fort Worth,0,51.0,1,66.0,2.0,5495.3,2024-11-04 08:11:26
642.68,1,Fresno,1,50.0,0,94.0,1.0,8461.46,2024-11-04 08:08:38
78.44,0,San Jose,2,52.0,2,292.0,1.0,6870.84,2024-11-04 08:10:39
139.72,1,Memphis,1,49.0,1,201.0,1.0,5058.83,2024-11-04 08:08:24
499.99,1,San Jose,1,31.0,1,296.0,1.0,8885.0,2024-11-04 08:09:05
10.07,1,Albuquerque,2,24.0,3,49.0,1.0,530.81,2024-11-04 08:08:57
120.62,1,Raleigh,0,23.0,3,85.0,1.0,9379.53,2024-11-04 08:06:39
578.49,1,Nashville,1,59.0,2,180.0,1.0,6475.13,2024-11-04 08:06:50
119.3,1,Mesa,1,34.0,1,22.0,5.0,319.04,2024-11-04 08:08:55
280.92,1,Phoenix,2,41.0,0,168.0,1.0,5298.85,2024-11-04 08:06:41
42.42,1,Sacramento,2,21.0,3,102.0,1.0,490.57,2024-11-04 08:09:11
77.03,1,Fresno,0,67.0,0,259.0,1.0,11310.27,2024-11-04 08:08:06
22.59,1,Seattle,0,62.0,2,45.0,1.0,3988.75,2024-11-04 08:08:22
568.76,1,Baltimore,0,51.0,2,155.0,1.0,7484.32,2024-11-04 08:12:09
105.94,1,Oklahoma City,1,51.0,1,207.0,1.0,5963.1,2024-11-04 08:09:59
733.29,1,Virginia Beach,0,52.0,0,94.0,5.0,10427.0,2024-11-04 08:07:12
350.15,0,Fresno,0,21.0,3,195.0,1.0,296.47,2024-11-04 08:08:37
1151.18,1,Kansas City,0,65.0,0,105.0,1.0,1100.06,2024-11-04 08:07:02
183.67,1,San Diego,2,19.0,3,238.0,1.0,910.26,2024-11-04 08:11:05
278.27,1,Tucson,1,29.0,0,123.0,1.0,6684.34,2024-11-04 08:09:58
470.3,1,Austin,0,40.0,0,88.0,1.0,8524.09,2024-11-04 08:08:00
261.69,1,Philadelphia,0,53.0,2,84.0,1.0,5126.65,2024-11-04 08:09:09
365.04,1,Virginia Beach,1,22.0,3,94.0,1.0,873.89,2024-11-04 08:12:08
211.1,1,Miami,1,57.0,2,136.0,1.0,7059.77,2024-11-04 08:07:01
21.49,1,Denver,0,58.0,0,240.0,1.0,11991.24,2024-11-04 08:08:08
63.58,1,Columbus,0,18.0,3,199.0,1.0,8086.04,2024-11-04 08:11:56
321.86,1,San Antonio,0,63.0,0,167.0,1.0,12626.49,2024-11-04 08:06:35
642.54,1,Milwaukee,1,44.0,1,28.0,1.0,3143.17,2024-11-04 08:10:37
313.65,0,Chicago,1,55.0,2,173.0,1.0,1886.36,2024-11-04 08:10:49
99.76,1,Sacramento,1,26.0,3,131.0,1.0,416.89,2024-11-04 08:06:26
115.32,1,Denver,1,53.0,2,113.0,1.0,5929.08,2024-11-04 08:08:36
33.61,1,Milwaukee,2,23.0,3,72.0,1.0,479.08,2024-11-04 08:08:40
498.59,0,Oklahoma City,2,33.0,0,32.0,1.0,5862.99,2024-11-04 08:06:58
